district_id,district,total_token,total_phone,reorder_payment_count
118,dardasht,5241,4480,2452
272,doolab,5060,4409,758
916,tolid-daroo,5942,4964,1065
75,saadat-abad,308027,220740,330549
302,north-sohrevardi,68833,56517,45953
984,sartakht,989,969,226
172,sadeghiyeh,60332,53863,47905
78,shahrak-e-gharb,89214,75523,80965
924,hezarsang,252,238,103
973,saheb-al-zaman,2232,1952,337
955,zarkesh,2750,2478,898
1020,abouzar,14426,12975,2263
125,shams-abad,37215,32391,14082
140,shahrak-e-koohsar,1847,1603,728
298,iranshahr,6477,6076,2559
1015,bisim,2226,2134,433
289,sad-dastgah,2069,1772,434
983,sizdah-aban,4196,3953,651
913,saeed-abad,2396,2285,504
374,vardavard,12569,11341,4231
1014,imam-sajjad,798,761,115
935,nosrat,3282,3043,1111
216,hasan-abad-baqer-far,2493,2337,282
286,eshrat-abad,5678,5285,2002
999,salamat,1749,1463,349
173,aboozar,21107,19433,13349
194,shahrak-e-vali-e-asr,28361,25427,6159
59,farahzad,2157,2066,554
122,zeynabeiyeh,44,44,5
960,tehran-gorgan,9499,8579,3691
985,hamzeh-abad,2055,1966,265
1030,shahrak-shahid-bagheri,5671,5112,2254
313,,78364,71110,12911
81,vanak-village,1673,1568,469
165,west-shahrak-e-golestan,38946,33397,16530
315,vanak,40381,32224,27023
180,shahrak-e-aseman,38,36,8
195,ostad-moein,45267,39409,19871
82,poonak,241269,205487,196484
133,vahidiyeh,11601,10169,2356
980,taqiabad-rey,5577,5012,5413
42,niavaran,136006,120042,83708
151,north-shahran,37576,33884,22128
1028,tehran-jolfa,6891,6491,4401
90,yousef-abad,61144,49765,49342
159,shahrak-e-parvaz,4651,4296,2114
256,esfandyari,893,824,84
312,shahid-navab-safavi,35033,31181,18387
1029,dr-hoshyar,7525,7021,2890
425,,56296,53101,10931
297,behjat-abad,4023,3809,2058
117,sarsabz,2496,2211,686
291,farah-abad,2948,2721,438
1019,atabak,7623,7153,2650
121,hakimiyeh,27252,23393,7466
46,golab-dareh,1138,1080,269
217,baq-e-rezavan,98,95,84
284,sarsabil,50566,44820,25470
987,aqdasiyeh-rey,15445,14052,4606
1008,tehran-shandiz,1268,1221,255
70,gholhak,21765,20150,16106
300,abbas-abad,18928,16890,12100
1004,shabiri,2073,1736,1076
99,hassan-abad,3995,3672,587
937,tehran-khaghani,1461,1377,629
976,mesgar-abad,747,716,56
231,javanmard-e-ghasab,3327,3150,525
86,jordan,78095,62933,73967
109,east-tehranpars,76145,69274,30749
918,dolatkhah,2343,2245,259
1006,haftchenar,5191,4495,1266
60,mahmoodiyeh,14257,13517,5711
189,shadabad,9948,8952,2285
1026,east-saleh-abad,1220,1151,138
311,azad-shahr,5305,5010,1395
93,bazaar,12797,12314,3757
969,shokoofeh,5782,5454,1440
40,ajoodanieh,26190,24917,12852
204,jamalzadeh,9420,8620,4384
251,charsad-dastgah,5474,4236,1112
259,shahrak-e-aboozar,587,567,83
282,hor-square,5497,5091,2153
285,darvazeh-shemiran,8386,7375,2654
147,shahin,9739,8801,8507
908,havanirooz,2889,2736,1064
1032,shahrak-daneshgahi,67,67,19
240,shoosh,9636,9174,2220
263,eslam-abad,1734,1581,646
1003,shahid-dastgheyb,2709,2435,587
1017,khavaran,8962,8316,2718
64,farmaniyeh,106566,95376,68190
917,behdasht,1236,1161,164
1022,bagh-khazaneh,2196,2089,347
281,sheykh-hadi,3812,3441,1348
91,amir-abad,25820,22269,16761
152,south-shahran,38381,34506,24902
956,taslihat,5609,5002,1141
949,,3150,2638,457
45,emamzade-ghasem,1312,1231,444
47,darabad,9998,9448,4328
53,ozgol,18931,17275,10152
148,south-janat-abad,90951,82453,58288
972,shahed,1079,1037,140
169,shahrak-e-apadana,452,441,114
273,ahang,28432,26026,6378
1033,shahrak-daneshgah-tehran,1374,1331,317
211,qezel-qaleh,450,404,156
