district_id,total_post,total_users,Groups,district,region,districts_count
301,376,304,1,arjantin,6,86
950,874,674,2,sabalan,7,133
179,42,40,2,shahrak-e-darya,21,133
306,1931,1348,2,chitgar,21,133
1023,51,48,3,shahid-borujerdi,15,130
48,476,375,1,aghdasieh,1,86
67,1448,1069,2,pasdaran,4,133
224,181,172,3,shahrak-e-rezvan,20,130
953,175,159,2,tehran-emamat,13,133
168,269,200,2,kooy-e-bimeh,5,133
254,57,52,3,bahman-yar,19,130
927,27,26,1,eivanak,2,86
992,430,377,3,abshar,12,130
105,238,202,2,ghanat-kosar,4,133
131,260,223,2,aramaneh,7,133
1013,63,61,3,jalili,17,130
654,990,709,2,azarbaijan,10,133
993,83,79,3,aminhozour,12,130
108,4048,2419,2,west-tehranpars,4,133
934,113,100,1,tavanir,6,86
44,52,49,1,jamaran,1,86
132,759,628,2,nezam-abad,7,133
947,270,235,2,javadiyeh-tehran-pars,4,133
123,801,582,2,tehran-no,13,133
127,190,148,2,dabestan,7,133
951,110,107,2,ashtiyani,13,133
1007,184,153,3,bolursazi,17,130
1011,97,84,3,tous,17,130
210,491,326,1,north-karegar,6,86
205,1483,934,1,sattarkhan,2,86
994,212,201,3,ferdowsi,12,130
981,207,201,3,abbas-abad-rey,20,130
220,344,324,3,abdol-abad,19,130
249,1776,1403,3,afsariyeh,15,130
61,390,376,1,tajrish,1,86
940,68,60,1,darb-dowom,3,86
988,135,118,3,firoozabadi,20,130
995,187,172,3,qiam,12,130
1005,299,277,2,soleymani,10,133
192,925,845,3,yaftabad,18,130
921,240,176,2,shahrak-naft-district5,5,133
156,3621,2457,2,andisheh,5,133
160,229,190,2,eram,5,133
283,412,335,3,eskandari,11,130
941,63,60,1,qoba,3,86
957,83,78,2,east-shareq,7,133
979,73,66,3,ebn-babevayh,20,130
982,57,56,3,shahid-avini,20,130
206,206,159,1,baqerkhan,2,86
292,3408,2297,2,pirouzi,13,133
919,100,88,2,tehran-hesarak,5,133
200,187,136,1,daryan-no,2,86
655,418,337,1,enqelab,6,86
952,66,58,2,hafezie,13,133
141,69,65,2,morad-abad,5,133
288,162,139,2,sheykh-al-raeis,13,133
942,11,11,1,hesar-booali,1,86
55,826,492,1,velenjak,1,86
922,52,49,1,parvaz,2,86
