district_id,week_tir,place4,place2,district,name,region,business_type
172,0,172,1,sadeghiyeh,ØµØ§Ø¯Ù‚ÛŒÙ‡,2,3
172,1,172,1,sadeghiyeh,ØµØ§Ø¯Ù‚ÛŒÙ‡,2,3
172,2,172,1,sadeghiyeh,ØµØ§Ø¯Ù‚ÛŒÙ‡,2,3
78,0,78,1,shahrak-e-gharb,Ø´Ù‡Ø±Ú© ØºØ±Ø¨,2,3
78,1,78,1,shahrak-e-gharb,Ø´Ù‡Ø±Ú© ØºØ±Ø¨,2,3
78,2,78,1,shahrak-e-gharb,Ø´Ù‡Ø±Ú© ØºØ±Ø¨,2,3
924,0,924,1,hezarsang,Ù‡Ø²Ø§Ø±Ø³Ù†Ú¯,1,3
924,1,924,1,hezarsang,Ù‡Ø²Ø§Ø±Ø³Ù†Ú¯,1,3
924,2,924,1,hezarsang,Ù‡Ø²Ø§Ø±Ø³Ù†Ú¯,1,3
973,0,973,1,saheb-al-zaman,ØµØ§Ø­Ø¨ Ø§Ù„Ø²Ù…Ø§Ù†,14,3
973,1,973,1,saheb-al-zaman,ØµØ§Ø­Ø¨ Ø§Ù„Ø²Ù…Ø§Ù†,14,3
973,2,973,1,saheb-al-zaman,ØµØ§Ø­Ø¨ Ø§Ù„Ø²Ù…Ø§Ù†,14,3
955,0,955,1,zarkesh,Ø²Ø±Ú©Ø´,8,3
955,1,955,1,zarkesh,Ø²Ø±Ú©Ø´,8,3
955,2,955,1,zarkesh,Ø²Ø±Ú©Ø´,8,3
1020,0,1020,1,abouzar,Ø§Ø¨ÙˆØ°Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û±Ûµ),15,3
1020,1,1020,1,abouzar,Ø§Ø¨ÙˆØ°Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û±Ûµ),15,3
1020,2,1020,1,abouzar,Ø§Ø¨ÙˆØ°Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û±Ûµ),15,3
125,0,125,1,shams-abad,Ø´Ù…Ø³â€ŒØ¢Ø¨Ø§Ø¯,4,3
125,1,125,1,shams-abad,Ø´Ù…Ø³â€ŒØ¢Ø¨Ø§Ø¯,4,3
125,2,125,1,shams-abad,Ø´Ù…Ø³â€ŒØ¢Ø¨Ø§Ø¯,4,3
140,0,140,1,shahrak-e-koohsar,Ø´Ù‡Ø±Ú© Ú©ÙˆÙ‡Ø³Ø§Ø±,5,3
140,1,140,1,shahrak-e-koohsar,Ø´Ù‡Ø±Ú© Ú©ÙˆÙ‡Ø³Ø§Ø±,5,3
140,2,140,1,shahrak-e-koohsar,Ø´Ù‡Ø±Ú© Ú©ÙˆÙ‡Ø³Ø§Ø±,5,3
298,0,298,1,iranshahr,Ø§ÛŒØ±Ø§Ù†Ø´Ù‡Ø±,6,3
298,1,298,1,iranshahr,Ø§ÛŒØ±Ø§Ù†Ø´Ù‡Ø±,6,3
298,2,298,1,iranshahr,Ø§ÛŒØ±Ø§Ù†Ø´Ù‡Ø±,6,3
1015,0,1015,1,bisim,Ø¨ÛŒØ³ÛŒÙ…,15,3
1015,1,1015,1,bisim,Ø¨ÛŒØ³ÛŒÙ…,15,3
1015,2,1015,1,bisim,Ø¨ÛŒØ³ÛŒÙ…,15,3
289,0,289,1,sad-dastgah,ØµØ¯ Ø¯Ø³ØªÚ¯Ø§Ù‡,14,3
