post_price_effect_share,post_price_effect_count,post_price_effect_percent,district_price_effect
-66.66666667,-0.666666667,-40,0
22.22222222,0.444444444,28.57142857,0
-200,-2,-66.66666667,0
-266.6666667,-2.666666667,-72.72727273,0
0,0,0,0
3.333333333,0.166666667,3.448275862,0
-220,-2.2,-68.75,0
66.66666667,2,200,0
0,0,0,0
-858.3333333,-8.583333333,-89.56521739,0
0,0,0,0
-66.66666667,-1.333333333,-40,0
0,0,0,0
8.333333333,0.25,9.090909091,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
60,3,150,0
0,0,0,0
-28.57142857,-0.285714286,-22.22222222,0
-51.51515152,-1.545454545,-34,0
0,0,0,0
66.66666667,2,200,0
58.33333333,1.75,140,0
-33.33333333,-0.333333333,-25,0
-550,-5.5,-84.61538462,0
25,2,33.33333333,0
0,0,0,0
-100,-1,-50,0
0,0,0,0
-50,-0.5,-33.33333333,0
-5.357142857,-0.214285714,-5.084745763,0
-108.3333333,-1.083333333,-52,0
0,0,0,0
-5.357142857,-0.214285714,-5.084745763,0
-50,-1,-33.33333333,0
-100,-1,-50,0
50,1,100,0
-100,-1,-50,0
44.44444444,1.777777778,80,0
57.14285714,1.714285714,133.3333333,0
-12.5,-0.25,-11.11111111,0
-387.5,-3.875,-79.48717949,0
-172.7272727,-1.727272727,-63.33333333,0
0,0,0,0
-108.3333333,-1.083333333,-52,0
9.821428571,0.785714286,10.89108911,0
-69.23076923,-1.384615385,-40.90909091,0
-50,-0.5,-33.33333333,0
0,0,0,0
-80,-0.8,-44.44444444,0
59.52380952,3.571428571,147.0588235,0
-100,-1,-50,0
0,0,0,0
3.03030303,0.090909091,3.125,0
0,0,0,0
-8.333333333,-0.25,-7.692307692,0
-12.12121212,-0.363636364,-10.81081081,0
-255.5555556,-2.555555556,-71.875,0
70,3.5,233.3333333,0
-40,-0.4,-28.57142857,0
-50,-0.5,-33.33333333,0
0,0,0,0
22.22222222,2,28.57142857,0
0,0,0,0
-245.4545455,-4.909090909,-71.05263158,0
-150,-1.5,-60,0
-40,-0.4,-28.57142857,0
50,1,100,0
30,1.5,42.85714286,0
72.5,3.625,263.6363636,0
-19.64285714,-0.785714286,-16.41791045,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
-100,-1,-50,0
0,0,0,0
0,0,0,0
0,0,0,0
-100,-1,-50,0
0,0,0,0
41.66666667,1.25,71.42857143,0
0,0,0,0
-50,-0.5,-33.33333333,0
-100,-1,-50,0
50,1,100,0
-237.5,-2.375,-70.37037037,0
-38.46153846,-1.923076923,-27.77777778,0
0,0,0,0
0,0,0,0
-40,-0.8,-28.57142857,0
50,1,100,0
-50,-0.5,-33.33333333,0
0,0,0,0
-50,-0.5,-33.33333333,0
-260,-2.6,-72.22222222,0
-35,-1.4,-25.92592593,0
50,1.5,100,0
43.75,0.875,77.77777778,0
-16.66666667,-0.5,-14.28571429,0
-31.25,-2.5,-23.80952381,0
-133.3333333,-2.666666667,-57.14285714,0
54.28571429,3.8,118.75,0
-50,-0.5,-33.33333333,0
-7.407407407,-0.666666667,-6.896551724,0
33.33333333,0.666666667,50,0
-66.66666667,-1.333333333,-40,0
0,0,0,0
50,1,100,0
50,2,100,0
0,0,0,0
50,1,100,0
-100,-1,-50,0
-253.8461538,-2.538461538,-71.73913043,0
-35.8974359,-1.076923077,-26.41509434,0
22.72727273,2.5,29.41176471,0
-87.5,-3.5,-46.66666667,0
-107.1428571,-1.071428571,-51.72413793,0
-1300,-13,-92.85714286,0
4.166666667,0.25,4.347826087,0
-16.66666667,-0.166666667,-14.28571429,0
66.66666667,2,200,0
25,0.5,33.33333333,0
-100,-1,-50,0
0,0,0,0
-100,-1,-50,0
-5.555555556,-0.111111111,-5.263157895,0
-88.88888889,-1.777777778,-47.05882353,0
54,2.7,117.3913043,0
-114.2857143,-1.142857143,-53.33333333,0
42.42424242,1.272727273,73.68421053,0
-5.714285714,-0.4,-5.405405405,0
50,1.5,100,0
-100,-1,-50,0
37.5,0.75,60,0
0,0,0,0
-26.53061224,-1.857142857,-20.96774194,0
-156.25,-3.125,-60.97560976,0
34.06593407,2.384615385,51.66666667,0
0,0,0,0
-100,-1,-50,0
16.66666667,0.5,20,0
1.785714286,0.142857143,1.818181818,0
57.14285714,4,133.3333333,0
29.16666667,1.166666667,41.17647059,0
-30,-0.3,-23.07692308,0
63.88888889,2.555555556,176.9230769,0
-12.5,-0.25,-11.11111111,0
0,0,0,0
64.28571429,4.5,180,0
29.16666667,1.166666667,41.17647059,0
-50,-0.5,-33.33333333,0
50,2,100,0
50,2,100,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
42.85714286,3.428571429,75,0
0,0,0,0
-15,-0.3,-13.04347826,0
-58.33333333,-1.166666667,-36.84210526,0
0,0,0,0
-100,-1,-50,0
-100,-1,-50,0
0,0,0,0
-62.5,-1.25,-38.46153846,0
-100,-1,-50,0
-66.66666667,-0.666666667,-40,0
-100,-1,-50,0
-214.2857143,-2.142857143,-68.18181818,0
-100,-1,-50,0
-75,-0.75,-42.85714286,0
0,0,0,0
19.04761905,0.571428571,23.52941176,0
-150,-1.5,-60,0
-133.3333333,-1.333333333,-57.14285714,0
0,0,0,0
0,0,0,0
-100,-1,-50,0
0,0,0,0
30,0.6,42.85714286,0
-50,-0.5,-33.33333333,0
-60,-0.6,-37.5,0
-50,-0.5,-33.33333333,0
-67.85714286,-1.357142857,-40.42553191,0
-81.25,-1.625,-44.82758621,0
-160,-4.8,-61.53846154,0
42.85714286,3,75,0
0,0,0,0
86.66666667,8.666666667,650,0
-33.33333333,-0.333333333,-25,0
8.333333333,0.25,9.090909091,0
-60,-0.6,-37.5,0
0,0,0,0
20.83333333,0.416666667,26.31578947,0
-41.66666667,-1.25,-29.41176471,0
41.66666667,1.25,71.42857143,0
-74,-3.7,-42.52873563,0
66.66666667,6,200,0
23.33333333,0.7,30.43478261,0
-233.3333333,-2.333333333,-70,0
-5.128205128,-0.153846154,-4.87804878,0
-225,-2.25,-69.23076923,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
-101.7857143,-4.071428571,-50.44247788,0
-150,-1.5,-60,0
0,0,0,0
-66.66666667,-0.666666667,-40,0
-120,-1.2,-54.54545455,0
0,0,0,0
54.54545455,6,120,0
66.66666667,4,200,0
-7.142857143,-0.642857143,-6.666666667,0
66.66666667,2,200,0
0,0,0,0
17.30769231,0.692307692,20.93023256,0
0,0,0,0
55.55555556,1.666666667,125,0
0,0,0,0
-50,-0.5,-33.33333333,0
0,0,0,0
-50,-0.5,-33.33333333,0
0,0,0,0
37.5,0.75,60,0
-62.5,-1.25,-38.46153846,0
-50,-0.5,-33.33333333,0
-2.380952381,-0.142857143,-2.325581395,0
-36.11111111,-1.083333333,-26.53061224,0
-79.16666667,-1.583333333,-44.18604651,0
40,0.8,66.66666667,0
51.25,4.1,105.1282051,0
51.85185185,1.555555556,107.6923077,0
6.153846154,0.307692308,6.557377049,0
0,0,0,0
0,0,0,0
-66.66666667,-0.666666667,-40,0
0,0,0,0
25.64102564,0.769230769,34.48275862,0
-19.64285714,-0.785714286,-16.41791045,0
20,0.4,25,0
-62.5,-0.625,-38.46153846,0
25,0.5,33.33333333,0
53.33333333,2.666666667,114.2857143,0
-103.8461538,-2.076923077,-50.94339623,0
25,2,33.33333333,0
-75,-0.75,-42.85714286,0
0,0,0,0
-241.6666667,-2.416666667,-70.73170732,0
0,0,0,0
-35,-0.7,-25.92592593,0
0,0,0,0
67.83216783,8.818181818,210.8695652,0
0,0,0,0
0,0,0,0
-175,-1.75,-63.63636364,0
-100,-1,-50,0
50,3,100,0
-40,-0.4,-28.57142857,0
0,0,0,0
0,0,0,0
50,1,100,0
-180,-1.8,-64.28571429,0
0,0,0,0
39.39393939,4.333333333,65,0
15,0.75,17.64705882,0
0,0,0,0
9.615384615,0.384615385,10.63829787,0
-33.33333333,-0.333333333,-25,0
54.76190476,8.214285714,121.0526316,0
0,0,0,0
-41.66666667,-0.833333333,-29.41176471,0
-120,-1.2,-54.54545455,0
-300,-3,-75,0
-260,-2.6,-72.22222222,0
20.83333333,0.833333333,26.31578947,0
10,0.2,11.11111111,0
-833.3333333,-8.333333333,-89.28571429,0
75,3,300,0
21.81818182,1.090909091,27.90697674,0
83.67346939,5.857142857,512.5,0
0,0,0,0
-28.20512821,-0.846153846,-22,0
55,11,122.2222222,0
0,0,0,0
-37.5,-0.375,-27.27272727,0
-233.3333333,-2.333333333,-70,0
-163.6363636,-1.636363636,-62.06896552,0
-5,-0.1,-4.761904762,0
0,0,0,0
-137.037037,-4.111111111,-57.8125,0
26.38888889,1.583333333,35.8490566,0
32.58928571,5.214285714,48.34437086,0
0,0,0,0
0,0,0,0
-100,-1,-50,0
65,3.25,185.7142857,0
-100,-1,-50,0
-33.33333333,-0.333333333,-25,0
37.5,1.5,60,0
40.27777778,3.222222222,67.44186047,0
12.5,0.25,14.28571429,0
-100,-2,-50,0
75,3,300,0
50,1,100,0
38.0952381,1.142857143,61.53846154,0
0,0,0,0
-100,-1,-50,0
-25,-0.5,-20,0
-50,-0.5,-33.33333333,0
-20,-0.4,-16.66666667,0
0,0,0,0
-66.66666667,-0.666666667,-40,0
-100,-1,-50,0
0,0,0,0
0,0,0,0
76.92307692,10,333.3333333,0
33.33333333,2,50,0
-37.5,-0.75,-27.27272727,0
-175,-1.75,-63.63636364,0
-92.85714286,-1.857142857,-48.14814815,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
0,0,0,0
-150,-1.5,-60,0
-25,-0.25,-20,0
50,1,100,0
-52.08333333,-2.083333333,-34.24657534,0
-100,-1,-50,0
-42.85714286,-0.428571429,-30,0
-50,-0.5,-33.33333333,0
37.77777778,2.266666667,60.71428571,0
25,0.5,33.33333333,0
-33.33333333,-0.333333333,-25,0
24.48979592,1.714285714,32.43243243,0
0,0,0,0
0,0,0,0
0,0,0,0
-50,-0.5,-33.33333333,0
-79.16666667,-1.583333333,-44.18604651,0
66.66666667,2,200,0
0,0,0,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-121.4285714,-1.214285714,-54.83870968,0
-45,-0.9,-31.03448276,0
50,2,100,0
-66.66666667,-0.666666667,-40,0
55,4.4,122.2222222,0
-88.88888889,-1.777777778,-47.05882353,0
20,0.4,25,0
-236.3636364,-2.363636364,-70.27027027,0
-83.33333333,-0.833333333,-45.45454545,0
-36.36363636,-1.090909091,-26.66666667,0
0,0,0,0
0,0,0,0
66.66666667,2,200,0
-100,-1,-50,0
-57.14285714,-0.571428571,-36.36363636,0
-56.25,-4.5,-36,0
-300,-3,-75,0
44.44444444,1.333333333,80,0
0,0,0,0
-58.33333333,-1.166666667,-36.84210526,0
-100,-1,-50,0
0,0,0,0
33.33333333,1,50,0
66.66666667,2,200,0
-62.5,-0.625,-38.46153846,0
66.66666667,2,200,0
-75,-0.75,-42.85714286,0
25,0.5,33.33333333,0
-100,-1,-50,0
50,1,100,0
20,1,25,0
28.39506173,2.555555556,39.65517241,0
12.5,0.25,14.28571429,0
-64.1025641,-1.923076923,-39.0625,0
-250,-2.5,-71.42857143,0
-50,-0.5,-33.33333333,0
0,0,0,0
-16.66666667,-0.333333333,-14.28571429,0
-200,-2,-66.66666667,0
0,0,0,0
0,0,0,0
-75,-0.75,-42.85714286,0
-100,-1,-50,0
-66.66666667,-0.666666667,-40,0
-166.1764706,-6.647058824,-62.43093923,0
81.73076923,13.07692308,447.3684211,0
-33.33333333,-0.333333333,-25,0
37.43842365,10.85714286,59.84251969,0
-55.55555556,-1.111111111,-35.71428571,0
0,0,0,0
-175,-1.75,-63.63636364,0
62.5,1.875,166.6666667,0
55.35714286,6.642857143,124,0
-25,-1.5,-20,0
-150,-1.5,-60,0
-164.2857143,-1.642857143,-62.16216216,0
-35,-1.4,-25.92592593,0
33.33333333,0.666666667,50,0
38.46153846,1.538461538,62.5,0
-77.77777778,-0.777777778,-43.75,0
32,1.6,47.05882353,0
-16.66666667,-0.166666667,-14.28571429,0
50,1,100,0
75,3,300,0
-125.6410256,-3.769230769,-55.68181818,0
27.77777778,0.555555556,38.46153846,0
67.34693878,4.714285714,206.25,0
-127.2727273,-2.545454545,-56,0
-59.09090909,-1.181818182,-37.14285714,0
-136.3636364,-2.727272727,-57.69230769,0
55,2.2,122.2222222,0
0,0,0,0
-75,-0.75,-42.85714286,0
33.33333333,0.666666667,50,0
36.53846154,2.923076923,57.57575758,0
-95.45454545,-1.909090909,-48.8372093,0
0,0,0,0
0,0,0,0
-20,-0.2,-16.66666667,0
-40,-0.4,-28.57142857,0
44.44444444,1.333333333,80,0
-33.33333333,-0.666666667,-25,0
0,0,0,0
0,0,0,0
66.66666667,9.333333333,200,0
25,0.5,33.33333333,0
16.66666667,0.333333333,20,0
66.66666667,4,200,0
-200,-2,-66.66666667,0
0,0,0,0
-18.18181818,-0.363636364,-15.38461538,0
-25,-0.5,-20,0
13.63636364,0.272727273,15.78947368,0
-60,-0.6,-37.5,0
30,0.6,42.85714286,0
40,1.2,66.66666667,0
0,0,0,0
-50,-0.5,-33.33333333,0
0,0,0,0
10,0.2,11.11111111,0
-200,-2,-66.66666667,0
-14.81481481,-0.444444444,-12.90322581,0
55.55555556,1.666666667,125,0
-19.64285714,-0.785714286,-16.41791045,0
0,0,0,0
50,1,100,0
-31.81818182,-0.636363636,-24.13793103,0
30,3,42.85714286,0
-33.33333333,-0.333333333,-25,0
22.72727273,0.454545455,29.41176471,0
-62.5,-0.625,-38.46153846,0
