district_id,district,treatment_control_group,district_price_effect,total_token_price_effect,total_phone_price_effect,mean_post_price_effect_count,mean_post_price_effect_percent,mean_reorder_price_effect_count,mean_reorder_price_effect_percent,lag_total_token_price_effect,lag_total_phone_price_effect,total_token_price_effect_detrend,total_phone_price_effect_detrend,total_token,total_phone,reorder_payment_count,total_token_price_effect_ratio,total_phone_price_effect_ratio,total_token_price_effect_detrend_ratio,total_phone_price_effect_detrend_ratio
290,soleymanieh,31,0,7,129,0.3,20,-0.25,-87.5,,,,,1612,1434,323,0.004342432,0.089958159,,
290,soleymanieh,31,2,2,2,,,,,7,129,-5,-127,1612,1434,323,0.001240695,0.0013947,-0.003101737,-0.088563459
927,eivanak,10,0,,215,,,,,,,,,1008,972,618,,0.221193416,,
927,eivanak,10,1,7,6,,,,,,215,,-209,1008,972,618,0.006944444,0.00617284,,-0.215020576
927,eivanak,10,2,2,2,,,,,7,6,-5,-4,1008,972,618,0.001984127,0.002057613,-0.004960317,-0.004115226
936,nejatollahi,10,0,24,486,-0.441049383,-17.93800196,0.702523403,154.7619048,,,,,3217,3019,1449,0.007460367,0.160980457,,
936,nejatollahi,10,1,26,19,,,,,24,486,2,-467,3217,3019,1449,0.008082064,0.006293475,0.000621697,-0.154686982
936,nejatollahi,10,2,4,3,,,,,26,19,-22,-16,3217,3019,1449,0.001243394,0.000993707,-0.00683867,-0.005299768
53,ozgol,10,0,138,2502,-0.940586467,-7.067694965,2.357934899,21.46341232,,,,,18713,17088,10218,0.007374552,0.146418539,,
53,ozgol,10,1,120,80,,,,,138,2502,-18,-2422,18713,17088,10218,0.006412654,0.004681648,-0.000961898,-0.141736891
53,ozgol,10,2,15,11,,,,,120,80,-105,-69,18713,17088,10218,0.000801582,0.000643727,-0.005611073,-0.004037921
94,jomhouri,30,0,149,1416,-0.126240788,3.152183809,1.390679087,140.9873286,,,,,13734,12560,7214,0.010848988,0.112738854,,
94,jomhouri,30,1,49,29,,,,,149,1416,-100,-1387,13734,12560,7214,0.003567788,0.002308917,-0.0072812,-0.110429936
94,jomhouri,30,2,2,2,,,,,49,29,-47,-27,13734,12560,7214,0.000145624,0.000159236,-0.003422164,-0.002149682
241,shahrak-e-kianshahr,30,0,171,549,-0.343501205,4.611108128,0.478261047,17.41269841,,,,,12823,11231,1402,0.013335413,0.048882557,,
241,shahrak-e-kianshahr,30,1,9,8,,,,,171,549,-162,-541,12823,11231,1402,0.000701864,0.000712314,-0.012633549,-0.048170243
241,shahrak-e-kianshahr,30,2,1,1,,,,,9,8,-8,-7,12823,11231,1402,7.80E-05,8.90E-05,-0.000623879,-0.000623275
243,moshiriyeh,30,0,131,660,0.006200281,5.24672004,0.27298477,-30.88435374,,,,,14789,13430,1961,0.008857935,0.049143708,,
243,moshiriyeh,30,1,21,12,,,,,131,660,-110,-648,14789,13430,1961,0.001419974,0.000893522,-0.007437961,-0.048250186
243,moshiriyeh,30,2,10,4,,,,,21,12,-11,-8,14789,13430,1961,0.000676178,0.000297841,-0.000743796,-0.000595681
926,sepehr,11,0,17,374,1.166666667,50,-0.527777778,-100,,,,,2185,2036,1130,0.00778032,0.183693517,,
926,sepehr,11,2,5,5,,,,,17,374,-12,-369,2185,2036,1130,0.00228833,0.002455796,-0.005491991,-0.181237721
991,tehran-iran,30,0,23,304,0.329166667,11.43939394,-0.460714286,-96.25,,,,,4855,4477,1145,0.004737384,0.067902613,,
991,tehran-iran,30,1,15,14,,,,,23,304,-8,-290,4855,4477,1145,0.003089598,0.003127094,-0.001647786,-0.064775519
1003,shahid-dastgheyb,21,0,15,345,-0.053030303,-9.199134199,0.87012987,107.9365079,,,,,2656,2383,580,0.00564759,0.144775493,,
1003,shahid-dastgheyb,21,2,13,12,,,,,15,345,-2,-333,2656,2383,580,0.004894578,0.005035669,-0.000753012,-0.139739824
245,karevan,30,0,28,262,-1.139795918,-20.11643119,0.943027211,166.6666667,,,,,6251,5635,578,0.004479283,0.04649512,,
245,karevan,30,1,8,4,,,,,28,262,-20,-258,6251,5635,578,0.001279795,0.000709849,-0.003199488,-0.045785271
245,karevan,30,2,4,3,,,,,8,4,-4,-1,6251,5635,578,0.000639898,0.000532387,-0.000639898,-0.000177462
944,kuy-nobonyad,11,0,3,140,0.25,33.33333333,-0.75,-75,,,,,520,491,656,0.005769231,0.285132383,,
944,kuy-nobonyad,11,2,2,2,,,,,3,140,-1,-138,520,491,656,0.003846154,0.00407332,-0.001923077,-0.281059063
986,estakhr-rey,21,0,76,1032,-0.156328008,-3.953661294,0.769622507,-2.954822955,,,,,11983,11109,3197,0.006342318,0.092897651,,
986,estakhr-rey,21,2,25,22,,,,,76,1032,-51,-1010,11983,11109,3197,0.002086289,0.001980376,-0.004256029,-0.090917274
45,emamzade-ghasem,10,0,3,262,-0.333333333,-16.66666667,0,-100,,,,,1298,1218,437,0.002311248,0.215106732,,
45,emamzade-ghasem,10,1,6,6,,,,,3,262,3,-256,1298,1218,437,0.004622496,0.004926108,0.002311248,-0.210180624
932,shahrak-valfajr,10,0,,90,,,,,,,,,292,279,238,,0.322580645,,
932,shahrak-valfajr,10,1,1,1,,,,,,90,,-89,292,279,238,0.003424658,0.003584229,,-0.318996416
932,shahrak-valfajr,10,2,1,1,,,,,1,1,0,0,292,279,238,0.003424658,0.003584229,0,0
275,gomrok,30,0,69,1341,-0.123487623,9.696914086,0.333396233,35.78911565,,,,,13845,12450,4377,0.004983749,0.107710843,,
275,gomrok,30,1,31,27,,,,,69,1341,-38,-1314,13845,12450,4377,0.002239075,0.002168675,-0.002744673,-0.105542169
275,gomrok,30,2,6,5,,,,,31,27,-25,-22,13845,12450,4377,0.000433369,0.000401606,-0.001805706,-0.001767068
907,abshar-tehran,10,0,89,1069,-0.050094482,16.98172913,0.719387755,186.3095238,,,,,8699,8038,2474,0.010231061,0.132993282,,
907,abshar-tehran,10,1,19,18,,,,,89,1069,-70,-1051,8699,8038,2474,0.002184159,0.002239363,-0.008046902,-0.130753919
997,kosar,30,0,4,155,-0.333333333,-11.11111111,0.266666667,,,,,,2175,2023,256,0.00183908,0.076618883,,
997,kosar,30,1,1,1,,,,,4,155,-3,-154,2175,2023,256,0.00045977,0.000494315,-0.00137931,-0.076124567
997,kosar,30,2,1,1,,,,,1,1,0,0,2175,2023,256,0.00045977,0.000494315,0,0
52,sohanak,11,0,61,1824,-0.755809823,-23.30471468,2.243183302,213.2638889,,,,,13248,12249,8028,0.004604469,0.148910115,,
52,sohanak,11,2,18,17,,,,,61,1824,-43,-1807,13248,12249,8028,0.001358696,0.001387868,-0.003245773,-0.147522247
92,baharestan,30,0,26,598,0.156535948,21.54187048,0.539052288,,,,,,8711,8020,2069,0.002984732,0.074563591,,
92,baharestan,30,1,15,12,,,,,26,598,-11,-586,8711,8020,2069,0.001721961,0.001496259,-0.001262771,-0.073067332
92,baharestan,30,2,3,3,,,,,15,12,-12,-9,8711,8020,2069,0.000344392,0.000374065,-0.001377569,-0.001122195
966,taxirani,30,0,8,95,-0.146825397,-4.807692308,0.277777778,,,,,,1285,1112,150,0.006225681,0.085431655,,
